[INFO] [1790296040.869854559] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790296040.870654891] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790296040.871488582] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790296040.872419557] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790296040.873262542] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790296059.642902642] [sage_target_localizer]: Person 3D | pixel=(152.4,845.4) | position=(2.42,3.50,0.00) | range=4.17 m
[INFO] [1790296059.743620975] [sage_target_localizer]: Person 3D | pixel=(152.4,845.4) | position=(2.42,3.50,0.00) | range=4.17 m
[INFO] [1790296059.843733041] [sage_target_localizer]: Person 3D | pixel=(173.7,851.2) | position=(2.18,3.34,0.00) | range=3.90 m
[INFO] [1790296059.943286858] [sage_target_localizer]: Person 3D | pixel=(173.7,851.2) | position=(2.18,3.34,0.00) | range=3.90 m
[INFO] [1790296060.050585905] [sage_target_localizer]: Person 3D | pixel=(194.7,851.2) | position=(2.20,3.56,0.00) | range=4.03 m
[INFO] [1790296060.144905554] [sage_target_localizer]: Person 3D | pixel=(194.7,851.2) | position=(2.20,3.56,0.00) | range=4.03 m
[INFO] [1790296060.250529865] [sage_target_localizer]: Person 3D | pixel=(225.7,850.4) | position=(1.97,3.49,0.00) | range=3.84 m
[INFO] [1790296060.344837801] [sage_target_localizer]: Person 3D | pixel=(225.7,850.4) | position=(1.97,3.49,0.00) | range=3.84 m
[INFO] [1790296060.442383107] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296060.546627941] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296060.642265237] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296060.745464845] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296060.843076760] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296060.944642031] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296061.048056584] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296061.143005071] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296061.245442988] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296061.342411982] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
[INFO] [1790296061.442133541] [sage_target_localizer]: Person 3D | pixel=(250.9,847.6) | position=(1.66,3.24,0.00) | range=3.49 m
