[INFO] [1790221260.296674967] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790221260.298289774] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790221260.299742013] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790221260.302700345] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790221260.303528724] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790221260.306724262] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790221260.307811109] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790221269.569042940] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.28, 5.07, 0.00) | state=STATIONARY
[INFO] [1790221275.168553030] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(-0.31, 4.28, 0.00) | smoothed=(-0.31, 4.29, 0.00) | velocity=(-0.01, -0.08, 0.00) m/s | speed=0.08 m/s | net=0.09 m | straightness=0.29 | direction=0.00 | state=MOVING | detections=23
[INFO] [1790221275.283400624] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.32, 4.29, 0.00) | smoothed=(-0.31, 4.29, 0.00) | velocity=(-0.02, -0.05, 0.00) m/s | speed=0.06 m/s | net=0.05 m | straightness=0.28 | direction=0.00 | state=MOVING | detections=24
[INFO] [1790221275.368456756] [sage_semantic_world_model]: Target 1 confirmed STATIONARY | net=0.03 m | avg_speed=0.01 m/s
[INFO] [1790221275.378504139] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.32, 4.29, 0.00) | smoothed=(-0.31, 4.29, 0.00) | velocity=(-0.02, -0.03, 0.00) m/s | speed=0.04 m/s | net=0.03 m | straightness=0.25 | direction=0.00 | state=STATIONARY | detections=25
[INFO] [1790221275.471286008] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.32, 4.29, 0.00) | smoothed=(-0.31, 4.29, 0.00) | velocity=(-0.02, -0.02, 0.00) m/s | speed=0.03 m/s | net=0.07 m | straightness=0.93 | direction=0.00 | state=STATIONARY | detections=26
[INFO] [1790221275.570591253] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.32, 4.29, 0.00) | smoothed=(-0.32, 4.29, 0.00) | velocity=(-0.02, -0.01, 0.00) m/s | speed=0.02 m/s | net=0.05 m | straightness=0.90 | direction=0.00 | state=STATIONARY | detections=27
[INFO] [1790221275.675495836] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.32, 4.29, 0.00) | smoothed=(-0.32, 4.29, 0.00) | velocity=(-0.02, -0.00, 0.00) m/s | speed=0.02 m/s | net=0.04 m | straightness=0.87 | direction=0.00 | state=STATIONARY | detections=28
[INFO] [1790221275.772862134] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.32, 4.24, 0.00) | smoothed=(-0.32, 4.28, 0.00) | velocity=(-0.01, -0.04, 0.00) m/s | speed=0.04 m/s | net=0.04 m | straightness=0.87 | direction=0.00 | state=STATIONARY | detections=29
[INFO] [1790221275.875812266] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.32, 4.24, 0.00) | smoothed=(-0.32, 4.27, 0.00) | velocity=(-0.01, -0.06, 0.00) m/s | speed=0.06 m/s | net=0.04 m | straightness=0.86 | direction=0.00 | state=STATIONARY | detections=30
[INFO] [1790221275.969606300] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.32, 4.24, 0.00) | smoothed=(-0.32, 4.26, 0.00) | velocity=(-0.00, -0.08, 0.00) m/s | speed=0.08 m/s | net=0.04 m | straightness=0.85 | direction=0.00 | state=STATIONARY | detections=31
