[WARN] [1790213547.263788834] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790213547.267734063] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790213547.268501874] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790213547.269309454] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790213547.270141883] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790213547.271058436] [sage_target_localizer]: Waiting for camera/PX4 data...
[WARN] [1790213556.073875488] [sage_target_localizer]: 3D localization skipped: UAV tilt 8.3 deg > 8.0
[INFO] [1790213570.970257075] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.070581108] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.170527237] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.268789910] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.370181983] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.472925962] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.574765872] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.669927383] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.771240790] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.869687201] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213571.974354403] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.071482936] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.171792569] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.269200489] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.368702006] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.471377727] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.572521834] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.669268232] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.771830229] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.868471201] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213572.968056119] [sage_target_localizer]: Person 3D | pixel=(336.8,920.0) | position=(-0.25,4.04,0.00) | range=3.03 m
[INFO] [1790213573.070612348] [sage_target_localizer]: Person 3D | pixel=(336.8,920.0) | position=(-0.25,4.04,0.00) | range=3.03 m
